"SubNo"	"Hemisphere"	"ScalpLocation"	"CoilOrient"	"Block"	"Trial"	"Condition"	"Corr"	"Response"	"ACC"	"RT"	"Actual.orientation"	"Annoyance"	"Pain"	"Twitches"	"Visible.twitch"	"Av.RT.Prac"	"RT.Diff"	"Task"	"Congruence"	"Axes"	"HomLocation"	"RefLocation"
"51"	"1"	"1"	"25"	"NW"	3	11	"cong_r"	"n"	"n"	"1"	0.356489	"NW"	1	0	1	0	0.390825	-0.034336	"Flanker"	"Cong"	"NW.SE"	"C3.4"	"25"
"52"	"1"	"1"	"25"	"NW"	3	12	"incon_r"	"n"	"n"	"1"	0.398453	"NW"	1	0	1	0	0.4346445	-0.0361915	"Flanker"	"Incong"	"NW.SE"	"C3.4"	"25"
"53"	"1"	"1"	"25"	"NW"	3	13	"cong_l"	"c"	"c"	"1"	0.408244	"NW"	1	0	1	0	0.4105801	-0.00233610000000006	"Flanker"	"Cong"	"NW.SE"	"C3.4"	"25"
"54"	"1"	"1"	"25"	"NW"	3	14	"incon_l"	"c"	"c"	"1"	0.450223	"NW"	1	0	1	0	0.4339483	0.0162747	"Flanker"	"Incong"	"NW.SE"	"C3.4"	"25"
"55"	"1"	"1"	"25"	"NW"	3	15	"cong_l"	"c"	"c"	"1"	0.41184	"NW"	1	0	1	0	0.4105801	0.00125989999999992	"Flanker"	"Cong"	"NW.SE"	"C3.4"	"25"
"56"	"1"	"1"	"25"	"S"	3	16	"incon_l"	"c"	"c"	"1"	0.39059	"S"	1	0	2	0	0.4339483	-0.0433583	"Flanker"	"Incong"	"N.S"	"C3.4"	"25"
"57"	"1"	"1"	"25"	"S"	3	17	"cong_l"	"c"	"c"	"1"	0.388172	"S"	1	0	2	0	0.4105801	-0.0224081	"Flanker"	"Cong"	"N.S"	"C3.4"	"25"
"58"	"1"	"1"	"25"	"S"	3	18	"incon_l"	"c"	"c"	"1"	0.446135	"S"	1	0	2	0	0.4339483	0.0121867000000001	"Flanker"	"Incong"	"N.S"	"C3.4"	"25"
"59"	"1"	"1"	"25"	"S"	3	19	"cong_r"	"n"	"n"	"1"	0.359746	"S"	1	0	2	0	0.390825	-0.031079	"Flanker"	"Cong"	"N.S"	"C3.4"	"25"
"60"	"1"	"1"	"25"	"S"	3	20	"incon_r"	"n"	"n"	"1"	0.386352	"S"	1	0	2	0	0.4346445	-0.0482925	"Flanker"	"Incong"	"N.S"	"C3.4"	"25"
"61"	"1"	"1"	"106"	"SW"	4	1	"incon_l"	"c"	"c"	"1"	0.404212	"SW"	2	1	3	0	0.4339483	-0.0297362999999999	"Flanker"	"Incong"	"NE.SW"	"V5"	"106"
"62"	"1"	"1"	"106"	"SW"	4	2	"cong_l"	"c"	"c"	"1"	0.399004	"SW"	2	1	3	0	0.4105801	-0.0115761	"Flanker"	"Cong"	"NE.SW"	"V5"	"106"
"63"	"1"	"1"	"106"	"SW"	4	3	"incon_l"	"c"	"c"	"1"	0.408036	"SW"	2	1	3	0	0.4339483	-0.0259122999999999	"Flanker"	"Incong"	"NE.SW"	"V5"	"106"
"64"	"1"	"1"	"106"	"SW"	4	4	"cong_r"	"n"	"n"	"1"	0.449609	"SW"	2	1	3	0	0.390825	0.058784	"Flanker"	"Cong"	"NE.SW"	"V5"	"106"
"65"	"1"	"1"	"106"	"SW"	4	5	"incon_r"	"n"	"n"	"1"	0.443501	"SW"	2	1	3	0	0.4346445	0.00885649999999999	"Flanker"	"Incong"	"NE.SW"	"V5"	"106"
"66"	"1"	"1"	"106"	"S"	4	6	"cong_l"	"c"	"c"	"1"	0.405634	"N"	3	3	3	5	0.4105801	-0.00494610000000006	"Flanker"	"Cong"	"N.S"	"V5"	"106"
"67"	"1"	"1"	"106"	"S"	4	7	"incon_r"	"n"	"n"	"1"	0.383201	"N"	3	3	3	5	0.4346445	-0.0514435	"Flanker"	"Incong"	"N.S"	"V5"	"106"
"68"	"1"	"1"	"106"	"S"	4	8	"cong_r"	"n"	"n"	"1"	0.424926	"N"	3	3	3	5	0.390825	0.034101	"Flanker"	"Cong"	"N.S"	"V5"	"106"
